-, Mon, 03 Jan 2022 15:24:25 GMT, /api/movies GET 
-, Mon, 03 Jan 2022 15:24:40 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:25:18 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:25:21 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:25:36 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:25:55 GMT, /api/users?action=register POST 
-, Mon, 03 Jan 2022 15:25:59 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:26:12 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:26:18 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:26:52 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:27:07 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:28:02 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:28:23 GMT, /api/users?action=register POST 
-, Mon, 03 Jan 2022 15:28:27 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:28:38 GMT, /api/users POST 
-, Mon, 03 Jan 2022 15:28:38 GMT, /api/users/caolan1/favourites GET 
-, Mon, 03 Jan 2022 15:28:38 GMT, /api/movies?page=1 GET 
-, Mon, 03 Jan 2022 15:28:38 GMT, /api/users/caolan1/favourites_show GET 
-, Mon, 03 Jan 2022 15:28:39 GMT, /api/genres GET 
-, Mon, 03 Jan 2022 15:28:39 GMT, /api/languages GET 
-, Mon, 03 Jan 2022 15:28:39 GMT, /api/users/caolan1 GET 
-, Mon, 03 Jan 2022 15:29:08 GMT, /api/tvshows?page=1 GET 
-, Mon, 03 Jan 2022 15:29:08 GMT, /api/genres GET 
-, Mon, 03 Jan 2022 15:29:09 GMT, /api/languages GET 
77169, Mon, 03 Jan 2022 15:29:20 GMT, /api/tvshows/77169 GET 
77169, Mon, 03 Jan 2022 15:29:20 GMT, /api/tvshows/77169/images GET 
-, Mon, 03 Jan 2022 15:29:32 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:29:40 GMT, /api/users/caolan1/favourites_show POST 
-, Mon, 03 Jan 2022 15:29:41 GMT, /api/users/caolan1/favourites_show POST 
-, Mon, 03 Jan 2022 15:29:45 GMT, /api/users/caolan1/favourites POST 
-, Mon, 03 Jan 2022 15:29:46 GMT, /api/users/caolan1/favourites POST 
-, Mon, 03 Jan 2022 15:29:49 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:30:07 GMT, /api/users POST 
-, Mon, 03 Jan 2022 15:30:08 GMT, /api/users/user1/favourites GET 
-, Mon, 03 Jan 2022 15:30:08 GMT, /api/users/user1/favourites_show GET 
-, Mon, 03 Jan 2022 15:30:08 GMT, /api/users/user1 GET 
634649, Mon, 03 Jan 2022 15:30:13 GMT, /api/movies/634649 GET 
568124, Mon, 03 Jan 2022 15:30:13 GMT, /api/movies/568124 GET 
-, Mon, 03 Jan 2022 15:30:21 GMT, /api/users/user1/favourites POST 
-, Mon, 03 Jan 2022 15:30:21 GMT, /api/users/user1/favourites POST 
-, Mon, 03 Jan 2022 15:30:27 GMT, /api/users/user1/favourites_show POST 
-, Mon, 03 Jan 2022 15:30:27 GMT, /api/users/user1/favourites_show POST 
-, Mon, 03 Jan 2022 15:30:30 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:30:40 GMT, /api/users POST 
-, Mon, 03 Jan 2022 15:30:41 GMT, /api/users/caolan1/favourites GET 
-, Mon, 03 Jan 2022 15:30:41 GMT, /api/users/caolan1/favourites_show GET 
-, Mon, 03 Jan 2022 15:30:41 GMT, /api/users/caolan1 GET 
-, Mon, 03 Jan 2022 15:30:43 GMT, /api/users GET 
61d31616b6cbbd017fb53021, Mon, 03 Jan 2022 15:31:01 GMT, /api/users/61d31616b6cbbd017fb53021 PUT 
-, Mon, 03 Jan 2022 15:31:06 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:31:17 GMT, /api/users POST 
-, Mon, 03 Jan 2022 15:31:18 GMT, /api/users/sam1/favourites GET 
-, Mon, 03 Jan 2022 15:31:18 GMT, /api/users/sam1/favourites_show GET 
-, Mon, 03 Jan 2022 15:31:19 GMT, /api/users/sam1 GET 
512195, Mon, 03 Jan 2022 15:31:47 GMT, /api/movies/512195 GET 
566525, Mon, 03 Jan 2022 15:31:47 GMT, /api/movies/566525 GET 
-, Mon, 03 Jan 2022 15:31:52 GMT, /api/users/sam1/favourites DELETE 
-, Mon, 03 Jan 2022 15:32:31 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:32:54 GMT, /api/users/sam1/favourites POST 
-, Mon, 03 Jan 2022 15:32:59 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:34:07 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:34:28 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:35:03 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:35:22 GMT, /api/users?action=register POST 
-, Mon, 03 Jan 2022 15:35:25 GMT, /api/users GET 
-, Mon, 03 Jan 2022 15:35:34 GMT, /api/users POST 
-, Mon, 03 Jan 2022 15:35:34 GMT, /api/users/caolan1/favourites GET 
-, Mon, 03 Jan 2022 15:35:34 GMT, /api/users/caolan1/favourites_show GET 
-, Mon, 03 Jan 2022 15:35:34 GMT, /api/movies?page=1 GET 
-, Mon, 03 Jan 2022 15:35:35 GMT, /api/users/caolan1 GET 
-, Mon, 03 Jan 2022 15:35:35 GMT, /api/genres GET 
-, Mon, 03 Jan 2022 15:35:35 GMT, /api/languages GET 
-, Mon, 03 Jan 2022 15:36:05 GMT, /api/tvshows?page=1 GET 
-, Mon, 03 Jan 2022 15:36:06 GMT, /api/genres GET 
-, Mon, 03 Jan 2022 15:36:06 GMT, /api/languages GET 
77169, Mon, 03 Jan 2022 15:36:12 GMT, /api/tvshows/77169 GET 
77169, Mon, 03 Jan 2022 15:36:12 GMT, /api/tvshows/77169/images GET 
634649, Mon, 03 Jan 2022 15:37:23 GMT, /api/movies/634649 GET 
634649, Mon, 03 Jan 2022 15:37:23 GMT, /api/movies/634649/images GET 
-, Mon, 03 Jan 2022 15:37:47 GMT, /api/users POST 
-, Mon, 03 Jan 2022 15:37:47 GMT, /api/users/caolan1/favourites GET 
-, Mon, 03 Jan 2022 15:37:48 GMT, /api/users/caolan1/favourites_show GET 
-, Mon, 03 Jan 2022 15:37:48 GMT, /api/users/caolan1 GET 
-, Mon, 03 Jan 2022 15:37:55 GMT, /api/users/caolan1/favourites POST 
